Date,Open,High,Low,Close,Volume
19-May-17,187.51,190.04,187.51,189.14,1715431
18-May-17,191.99,192.15,187.07,190.00,4036373
17-May-17,184.58,185.15,182.09,182.17,666162
16-May-17,183.24,184.95,182.75,184.79,585693
15-May-17,181.44,181.95,180.90,181.91,483508
12-May-17,182.96,184.21,182.36,182.58,755191
11-May-17,181.19,181.99,179.58,181.93,559498
10-May-17,182.23,182.23,180.36,181.96,601294
9-May-17,179.88,181.53,178.73,181.47,794742
8-May-17,180.14,180.29,176.58,176.96,738031
5-May-17,180.55,181.74,180.31,181.61,523556
4-May-17,181.99,182.44,179.32,180.25,846577
3-May-17,183.74,183.94,181.08,181.65,1072334
2-May-17,181.88,185.18,179.66,184.11,2228534
1-May-17,177.13,178.18,176.36,176.47,768505
28-Apr-17,177.11,177.48,175.76,176.96,613742
27-Apr-17,177.03,178.38,176.41,177.84,659302
26-Apr-17,176.63,177.97,175.57,175.75,926256
25-Apr-17,177.67,178.44,176.64,176.68,1027395
24-Apr-17,174.12,175.90,173.82,175.71,723968
21-Apr-17,171.98,172.80,171.46,171.94,700502
20-Apr-17,171.41,172.97,170.51,171.86,1040876
19-Apr-17,170.07,171.25,168.90,169.27,1352217
18-Apr-17,171.63,171.77,168.58,169.64,968127
17-Apr-17,170.99,172.72,170.95,171.82,466195
13-Apr-17,171.36,172.98,170.90,171.14,547266
12-Apr-17,169.79,171.62,169.45,171.28,571027
11-Apr-17,170.13,170.17,168.55,169.64,654225
10-Apr-17,169.33,169.99,168.26,168.67,864186
7-Apr-17,170.81,171.38,168.96,169.38,1440777
6-Apr-17,175.39,176.00,171.35,171.55,2244446
5-Apr-17,173.75,176.25,173.56,175.06,1940561
4-Apr-17,174.92,177.75,174.79,177.25,868041
3-Apr-17,173.76,175.28,173.21,174.18,801903
31-Mar-17,175.95,176.32,174.18,174.23,1127943
30-Mar-17,178.48,178.60,177.03,177.34,743996
29-Mar-17,176.21,178.50,176.16,178.19,833943
28-Mar-17,177.65,178.08,176.60,177.40,886525
27-Mar-17,176.44,178.54,176.13,178.16,826943
24-Mar-17,175.73,175.88,174.04,175.23,758391
23-Mar-17,173.71,175.40,173.56,174.02,622198
22-Mar-17,173.93,174.29,172.84,174.15,885835
21-Mar-17,177.58,177.96,173.01,173.14,1120219
20-Mar-17,177.45,178.20,175.42,176.19,1161234
17-Mar-17,179.88,179.88,177.22,177.53,753715
16-Mar-17,180.27,180.55,179.58,180.13,812130
15-Mar-17,177.60,179.26,177.39,178.25,1405121
14-Mar-17,179.46,179.84,176.74,176.98,993706
13-Mar-17,181.55,181.96,180.69,180.90,710329
10-Mar-17,178.39,180.32,177.76,179.84,1019622
9-Mar-17,177.63,178.47,176.50,177.88,1067987
8-Mar-17,176.88,178.34,176.23,178.00,1112540
7-Mar-17,179.80,181.01,178.48,179.29,1019105
6-Mar-17,185.78,185.97,184.14,184.48,516431
3-Mar-17,184.48,186.34,184.19,186.30,1101026
2-Mar-17,183.73,185.71,183.47,184.50,1013496
1-Mar-17,181.54,183.43,181.06,183.21,995504
28-Feb-17,182.96,183.16,180.00,180.70,712723
27-Feb-17,180.17,183.15,180.13,182.88,660295
24-Feb-17,182.65,183.86,180.31,181.29,871432
23-Feb-17,184.19,186.28,183.37,185.44,1405663
22-Feb-17,180.12,182.00,179.99,181.00,921142
21-Feb-17,181.10,181.98,179.40,180.65,1035151
17-Feb-17,179.94,181.81,179.01,181.08,1275939
16-Feb-17,181.91,182.50,177.42,178.70,2067030
15-Feb-17,169.82,174.60,169.78,174.20,1580044
14-Feb-17,169.58,172.68,169.19,172.32,867884
13-Feb-17,171.71,172.49,170.35,170.55,706494
10-Feb-17,172.08,172.47,171.50,171.63,697775
9-Feb-17,171.02,172.18,170.63,171.82,986835
8-Feb-17,168.23,170.89,168.10,170.66,751616
7-Feb-17,169.15,170.75,168.62,170.41,1245693
6-Feb-17,166.66,167.01,165.81,166.82,1064528
3-Feb-17,167.97,168.30,167.06,168.20,597833
2-Feb-17,168.15,169.40,166.71,166.95,949971
1-Feb-17,168.37,170.53,167.30,170.39,1386777
31-Jan-17,162.85,167.90,162.45,167.81,1047635
30-Jan-17,165.33,166.44,163.45,164.32,763225
27-Jan-17,167.13,167.22,164.58,164.87,758529
26-Jan-17,169.24,169.46,164.78,165.04,1299704
25-Jan-17,165.86,168.12,165.84,167.18,1117309
24-Jan-17,163.68,165.23,163.51,164.54,929944
